"TEMPORADA","COLOR","MARCA","DESCRIPCION","CODIGO"
0,"ROJO","SANDRO","JERSEY","9.97914989999977E+15"
0,"MARINO","SANDRO","JERSEY","9.97914989999974E+15"
0,"VERT FLUO","SANDRO","JERSEY","9.97914989999956E+15"
0,"AMARILLO","SANDRO","JERSEY","9.97914989999950E+15"
0,"SKY BLUE","SANDRO","JERSEY","9.97914989999952E+15"
0,"BEIGE","SANDRO","JERSEY","9.97914989999955E+15"
0,"TIERRA DEL FUEG","SANDRO","JERSEY","9.97914989999905E+15"
0,"VERDE","SANDRO","JERSEY","9.97914989999958E+15"
0,"TERRACOTA","SANDRO","JERSEY","9.97914989999909E+15"
0,"NEGRO","SANDRO","JERSEY","9.97914989999978E+15"
0,"AZUL","SANDRO","JERSEY","9.97914989999973E+15"
0,"MARINO","SANDRO","JERSEY","9.97914989999959E+15"
0,"NEGRO","SANDRO","JERSEY","9.97914989999956E+15"
0,"BLANCO","SANDRO","JERSEY","9.97914989999952E+15"
0,"BLANCO","SANDRO","JERSEY","9.97914989999959E+15"
0,"VERDE","SANDRO","JERSEY","9.97914989999953E+15"
0,"BLANCO","SANDRO","JERSEY","9.97914989999908E+15"
0,"?","?","chimenea electrica","9.97902672099920E+15"
0,"MULTICOLOR","?","SET PARCHES FLORES","9.54932973099987E+15"
0,"ARCILLA","DOVE","GEL CORPORAL","9.56933631099591E+15"
0,"TE MATCHA","DOVE","GEL CORPORAL","9.56933631099591E+15"
0,"MULTI","COUCHEL","VEST ESTAMP POSICIONAL","9.97953165399983E+15"
0,"MULTI VERDE","COUCHEL","VEST ESTAMP Lï¿½REX M 3/4","9.97953165399989E+15"
0,"VERDE","SNOW CONSTELATI","CUADERNO COSIDO PORTADA","9.97951137997362E+15"
1,300,"ETRO","CHAQUETA","9.97903008599525E+15"
1,300,"ETRO","CHAQUETA","9.97903008599522E+15"
0,"?","LA ROCHE POSAY","LIPIKAR SYND AP+ OF SYND","9.97931351199917E+15"
0,"?","CERAVE","KIT LOCAO OF 20ML","9.97931351199912E+15"
0,"?","LA ROCHE POSAY","LIPIKAR BAUMEAP OF OLEO","9.97931351199914E+15"
0,"?","LA ROCHE POSAY","LIPIKAR BAUMEAP OF SYNDET","9.97931351199918E+15"
0,"?","CERAVE","KIT CREME OF 20ML","9.97931351199915E+15"
2,"CAMEL","S. COTTON","GORRA BORDADA DAISY","9.97990545499600E+15"
2,"BLUE","S. COTTON","GORRA BORDADA DAISY","9.97990545499602E+15"
2,"GREY","S. COTTON","GORRA DAKOTA","9.97990545499608E+15"
2,"IVORY","S. COTTON","GORRA DAKOTA","9.97990545499604E+15"
1,"MULTI MARINO","LLOYD'S","CAMISETA MC  FTSIA RAYA+ ANCLA","9.97972005598048E+15"
0,"50403896/001","HUGO BOSS","PANTALONES","9.97945191995033E+15"
0,"ORO","?","GALON ORO 3 CMS.","9.97951172799036E+15"
0,"VERDE","?","ESCARCHA VERDE","9.97951172799037E+15"
0,"?","?","SPRAY DE PURPURINA","9.97951172799032E+15"
0,"AZUL","?","M2 TELA PUNTO AZUL","9.97951172799031E+15"
0,"NEGRO","?","M2 TELA PUNTO NEGRA","9.97951172799031E+15"
0,"?","?","BARRA PINTURA","9.97951172799034E+15"
0,"BLANCO/AZUL","?","FTE GRANDE COROA","9.97996519798671E+15"
0,"?","?","p.cuenco espiro 33500193","9.97996519798676E+15"
0,"BLANCO / AZUL","?","FTE GRANDE COROA","9.97996519798674E+15"
0,"PREMIUM","MOLTEX","PAï¿½ALES","9.97954955399352E+15"
0,"?","?","CAï¿½ï¿½N CONFETI AIRE COMPR.60CMS","9.97951172799090E+15"
0,"?","?","p. postre 0353-37-113022","9.97996519798677E+15"
0,"MULTICOR PASTEL","PARFOIS","BISUTERIA","9.97936497598843E+15"
0,"MULTICOR PASTEL","PARFOIS","BISUTERIA","9.97936497598829E+15"
0,"MULTICOR PASTEL","PARFOIS","BISUTERIA","9.97936497598844E+15"
4,"KAKY","DUSTIN","SOBRECAMISA ALCOCHADA 8 DIAS D","9.97970586792085E+15"
4,"GRIS","DUSTIN","SOBRECAMISA ALCOCHADA 8 DIAS D","9.97970586792086E+15"
